teleplay_id,name,genre,type,episodes,rating,members,rating_2
9345,Gakkou no Kowai Uwasa Shin: Hanako-san ga Kita!!,"Comedy, Horror, School, Supernatural",medium,33,7.2458353,341,8.0
1793,Kaze no Na wa Amnesia,"Action, Dementia, Drama, Sci-Fi",long,1,6.3536925,8230,6.784090909090909
33909,Marine Dreamin&#039;,Music,Music,1,5.882967,126,5.5
10585,Chuunen Punk,Music,Music,1,5.4504766,308,4.428571428571429
28993,Hand Soap,"Dementia, Psychological",long,1,5.674477,246,6.0
9074,Arakawa Under the Bridge x Bridge,"Comedy, Romance, Seinen",medium,13,7.767282,80394,7.945747287364369
7290,Cyborg 009: Kaijuu Sensou,"Action, Adventure, Sci-Fi",long,1,5.854099,806,5.833333333333333
10824,Ranma ½: DoCo Music Video,"Comedy, Martial Arts, Music, Slice of Life",short,1,6.660855,1775,7.28125
4054,Norimono Oukoku BuBu ChaCha,"Comedy, Slice of Life",medium,26,7.343939,315,7.818181818181818
3034,Kurai Mirai,Restricted,short,2,6.297391,2004,6.326923076923077
135,Hikaru no Go,"Comedy, Game, Shounen, Supernatural",medium,75,8.266401,69000,8.334821428571429
5606,Ryoujoku Joshi Gakuen,Restricted,short,2,9.263744,450,10.0
3772,Saiko Robot Kombock,"Mecha, Sci-Fi",medium,25,6.3042827,2399,5.568627450980392
9723,Hakuouki Hekketsuroku Episode 0,"Action, Drama, Harem, Historical, Josei, Samurai, Supernatural, Vampire",Special,1,6.8641033,8025,7.220833333333333
20847,Seitokai Yakuindomo*,"Comedy, School, Shounen, Slice of Life",medium,13,8.012056,98544,7.945215759849906
2461,Metal Skin Panic MADOX-01,"Action, Mecha, Sci-Fi",short,1,6.2922187,2030,6.3
3127,California Crisis: Tsuigeki no Juuka,"Action, Adventure, Comedy",short,1,6.2528276,1604,6.25
6090,Hon Ran,"Action, Magic, Martial Arts",short,1,5.2564898,781,5.105263157894737
14207,Lovely Series,Restricted,short,2,4.6095457,174,2.0
1883,Kappa no Kaikata,Comedy,medium,26,6.333058,1209,6.605263157894737
1906,Harukanaru Toki no Naka de: Maihitoyo,"Drama, Fantasy, Historical, Magic, Romance, Shoujo, Supernatural",long,1,6.8939033,4019,7.625
32803,Dreaming Pupa: Yumemiru Bokura,Music,Music,1,4.872848,96,3.0
710,Rec,"Comedy, Drama, Romance",medium,9,7.598486,68951,7.578495362418413
10764,Buta Himesama,"Fantasy, Restricted, Supernatural",short,1,5.8153744,2202,5.791666666666667
29799,Tabi wa Michizure Yo wa Nasake,Kids,long,1,5.9604173,92,7.0
1189,Eden&#039;s Bowy,"Action, Adventure, Fantasy, Romance, Sci-Fi",medium,26,6.4046926,4106,6.846153846153846
5040,One Outs,"Psychological, Seinen, Sports",medium,25,8.553222,83056,8.492479587451655
3434,Hey! Bumboo,"Adventure, Cars, Kids",medium,130,6.216265,677,6.166666666666667
32065,Kimi no Sumu Machi,Comedy,Special,1,5.3915553,398,5.375
24037,Selector Spread WIXOSS,"Game, Psychological",medium,12,7.6114154,42918,7.685546875
3550,Midori no Makibao,"Comedy, Sports",medium,61,7.052264,488,7.1
18121,Teekyuu 2,"Comedy, School, Shounen, Sports",medium,12,7.1878176,15887,7.141921397379913
28053,Kumo no Ito,Fantasy,long,1,5.436808,158,5.0
14749,Ore no Kanojo to Osananajimi ga Shuraba Sugiru,"Comedy, Harem, Romance, School",medium,13,7.460245,156116,7.469387755102041
21881,Sword Art Online II,"Action, Adventure, Fantasy, Game, Romance",medium,24,6.4524326,537892,7.657446068197634
24675,Future Card Buddyfight Recap,Game,Special,1,6.0293436,277,6.0
3287,Tenkuu Danzai Skelter+Heaven,"Mecha, Sci-Fi",short,1,4.787735,7680,2.0761904761904764
3964,Turn A Gundam II Movie: Moonlight Butterfly,"Action, Drama, Mecha, Military, Sci-Fi, Space",long,1,6.9384136,2396,6.891304347826087
7178,Tony&#039;s Heroine Series: Kanojo wa Hanayome Kouhosei? Cinderella Collection,Restricted,short,2,6.853517,3550,7.013333333333334
9558,Cheung gong chat hou,Kids,long,1,6.6069403,215,7.8
3626,Mobile Suit Gundam Wing: Operation Meteor,"Action, Adventure, Drama, Mecha, Military, Psychological, Sci-Fi, Space",short,4,7.2113566,6768,7.9405940594059405
6895,Hakuouki,"Action, Drama, Historical, Josei, Samurai, Supernatural",medium,12,7.780493,90612,7.707820419985517
17147,Gakkatsu! 2nd Season,"Comedy, School",medium,25,7.1761427,1177,7.6
2366,Touma Kishinden Oni,Supernatural,medium,25,6.7549286,303,7.0
9340,Cheburashka,Comedy,long,1,7.3443336,545,7.7272727272727275
31168,Pokemon XY: Odemashi Ko Majin Hoopa,"Action, Fantasy, Kids",short,1,6.608616,1829,6.457142857142857
9242,Nine: Original Han,"Action, School, Sports",long,1,6.391528,158,6.0
10342,Tetsuwan Atom: Uchuu no Yuusha,"Action, Adventure, Drama, Mecha, Sci-Fi, Shounen",long,1,7.0379767,661,7.142857142857143
3931,Initial D Battle Stage 2,"Action, Cars, Drama, Seinen, Sports",short,1,7.8622475,11015,7.827127659574468
33870,Kabi Usagi: Game Center,Comedy,ONA,1,3.8069258,39,3.0
6793,Kuroshitsuji Special,"Comedy, Demons, Parody",Special,1,7.380823,53706,7.817700817700818
9916,Samurai Giants,Sports,medium,46,4.139666,319,3.0
16436,Tenshi no Drop,"Comedy, Ecchi, Shoujo Ai, Shounen",Special,1,5.360921,6308,4.753086419753086
2002,Heroic Age,"Action, Mecha, Military, Sci-Fi, Space",medium,26,7.6298637,62530,7.859014675052411
8423,Ookiku Furikabutte: Natsu no Scorebook,"Comedy, Sports",short,2,7.6449146,2167,7.913043478260869
